State,ROI
NC,2.906184847016019
PA,4.499497882877211
CA,-2.98693955590067
CA,5.819637952250088
CA,2.577533381765241
OR,-2.8832822850763535
AL,1.454650483281356
PA,6.190743463008346
TX,-5.863124832284561
TX,1.4931811757147635
NH,9.338551397267137
IN,6.878173002842962
MS,-1.2319214516237724
DE,-0.38517149386594607
MI,5.373801245462835
IL,4.386274848845659
OH,7.8287451485526915
GA,8.468821971324935
AK,-0.23222196601658993
TX,-9.454049244773664
LA,-2.270983777321006
NJ,12.761717512500478
AL,0.01251491405260336
IL,-0.637103008570294
FL,1.2700159672962281
OR,-2.6572598283854205
FL,-3.2712461408398044
MI,1.8282221755370944
FL,-5.971320192409083
NC,4.398244424923965
OH,-0.5562574040297664
CO,-4.187361669459257
IL,14.65377072841898
NE,1.0442522605723603
FL,0.7646928743206495
CO,-6.0543551052110285
WI,9.386259210716076
GA,4.855080017433982
IN,5.794563964112464
SC,1.0759721085837397
CO,-5.600887246407398
TX,-6.108921876318553
TN,-0.14121177856994319
VA,5.754291930887569
IN,4.411435931799007
TN,10.001311576063545
WA,-1.6491048420905052
NY,7.204176177636443
MD,3.985098516836271
MN,3.5340234362297864
WA,-0.15045883714068942
TX,-2.55930343826569
NC,2.997090657502318
CA,1.8939022019245715
FL,-5.740394424192736
CA,0.0717370822251747
TX,-4.722156952121784
IA,0.9691282724910193
NJ,10.832686272507146
WA,-2.5941914327307734
SD,0.413556547384478
CA,-1.9855700175665403
PA,7.378211742649176
CT,11.711123995850782
TX,-1.2335036085941424
TX,-5.193659438255848
AL,-1.6106920451486952
TX,-0.30379807412017074
MI,3.338193107906367
VA,5.709344881963975
WV,4.408670065962772
WA,0.2100665136418
ND,-0.9739025285383821
NY,10.71564828699931
AR,0.7023909400054493
WI,8.007168225180758
KS,6.939962691775706
GA,3.346102754671786
TX,-1.002808588095949
MA,6.565427337980608
AL,-0.21709474709025123
WA,0.48073473908956355
VT,2.6204854331708556
MN,-0.1574759106209055
IN,8.777208726864934
IL,4.986099765304433
OR,-4.153120319780886
VA,3.6090578078747546
LA,-15.523088751042138
NM,3.3517513150307208
CA,-8.10666732386332
SC,3.9323894736987284
GA,4.972937202583613
AZ,-4.987283213758376
MO,1.957301007153317
IL,3.5122356196329814
LA,-4.823874864233678
LA,-3.562989945466724
IN,0.9394154612567063
TN,9.05255303026339
AZ,0.27062848272230877
GA,2.4598607418017173
NC,3.1483272052778877
SC,-0.8260677644230028
HI,-3.8147542301310606
MN,2.047576945366521
WI,7.158302157679911
OR,-0.22291712612588038
MI,5.285972316586152
GA,3.2893408384431617
IN,6.2712216635238125
CT,10.670893009028859
FL,-12.760635323141024
MT,1.4095372295904067
CA,-3.4258031880884903
NY,8.928400567362608
FL,-4.618202653097757
