RegionID,SizeRank,City,State,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024
394523,276,Decatur,AL,210403.635,210316.2766,210868.8163,212115.6747,214193.3384,216002.6194,217024.7591,217393.4516,217518.7711,217742.487,217928.5982,217821.4846,217313.2975,217150.2901,217936.0935,219773.9944,221681.8639,222862.8689,223552.0667,223876.2007,223957.5011,224026.6889
394453,277,Chambersburg,PA,251940.696,252423.196,253309.2557,254502.2334,255912.2748,257867.8136,259767.5216,260915.2379,261385.4423,261645.6708,262267.0903,262546.7885,263009.7335,263401.8984,264332.522,265037.5312,266137.0546,267320.0558,268621.0346,269796.8391,270802.3929,271826.5202
395193,278,Vineland,NJ,223256.7603,225451.2389,228129.1064,230072.2792,232108.0678,234298.8757,236379.8159,238309.4928,239599.6968,240986.2768,242004.1209,242677.2567,242275.4307,242496.1946,244095.5156,247003.8293,249869.2125,252118.6054,254086.378,255564.3123,256797.033,257811.3658
394703,279,Idaho,ID,392457.6941,388850.1899,386179.2262,384787.908,384644.6256,385789.1897,386689.577,387850.9629,388852.6401,390380.1929,390821.4738,390557.0974,389434.765,389568.4173,390489.4285,391827.3603,392377.6788,392253.4663,392285.1654,393155.6181,394694.3934,396491.2042
394639,280,Grand,CO,385399.3142,384813.0594,385485.0576,387104.007,389429.0108,391805.1012,393512.4221,395032.391,396092.7494,396833.7131,397524.8939,397686.5954,398110.7446,399071.0294,401155.0023,403467.5101,405579.4018,407148.9182,408611.898,410088.344,411850.3918,413699.5272
394563,281,Elizabethtown,KY,213529.1274,213092.9906,213154.6203,214493.4824,216478.6921,218273.5093,219137.7308,219253.2727,219660.6847,220287.6625,221106.3881,221377.6029,221020.5666,221069.0851,221731.5612,223657.7142,225377.9004,226938.2864,227711.3149,228021.053,228025.7994,228588.4233
394917,282,Niles,MI,233537.075,233743.6365,234025.2074,234771.9143,236050.1293,237631.1686,238946.3663,240161.1608,241304.25,242140.1715,242658.2621,242927.5674,243549.5389,244812.37,246829.7079,248636.2482,249321.8588,249367.7241,249240.0653,249519.8036,249578.5866,249979.9486
394873,283,Monroe,MI,226268.4397,226420.7514,226859.8692,227502.576,229267.2639,231318.6733,233289.0271,234974.5613,236324.6312,237276.193,237923.4328,238366.0001,238884.4197,239920.1546,241530.4654,243391.4058,244116.9836,244303.2594,244002.1283,244069.7879,244135.169,244759.6879
395066,284,Santa,NM,535713.6315,535677.74,536435.3368,539389.5965,543461.6282,548412.0974,552022.6839,554582.3444,555383.5322,556047.9231,556557.5936,556892.0264,556415.3324,555916.4498,557783.8333,561397.1065,564884.7681,565663.4177,564788.1218,564044.5923,564572.5578,565799.1514
394493,285,Concord,NH,411472.925,411873.3647,413142.9691,415904.1191,419131.9563,422900.0841,426695.5029,431087.9366,435733.7968,439761.2437,442479.4535,443902.7822,444683.453,446375.6878,449754.7167,454638.5954,458811.4394,461606.8615,463199.3693,465221.2864,467365.2569,469971.2818
394314,286,Alexandria,LA,166572.4529,168304.0503,169893.1041,170998.8791,171816.2606,171999.7474,171128.5102,169131.3957,166908.0477,165235.1041,163937.917,162995.5983,162122.2125,162236.0979,162594.0652,163403.5232,163852.5725,163887.7489,163753.6553,163439.7748,162854.5585,162410.4793
395163,287,Traverse,MI,363069.722,362810.2378,364237.8505,367140.4475,372434.77,377468.3363,381076.4552,383501.8347,385161.5362,385997.5052,386084.7403,385797.8154,385647.6048,386481.7955,388820.8953,391867.2987,394051.4417,395390.0622,396548.0538,398045.9065,400183.6505,402579.0096
394359,288,Bangor,ME,240495.3829,241814.6174,243726.0168,245963.2207,248409.7047,251004.696,253121.3282,254927.0866,256049.2721,256790.4996,257158.472,257229.5995,257480.3464,258464.7745,260377.7546,262764.2468,264893.5363,265987.6631,266443.2966,266629.4709,267050.2552,268043.767
394685,289,Homosassa,FL,281595.7067,279972.6343,279110.8492,279501.4209,280187.9347,281462.6792,282451.5772,283239.4578,283079.4847,282900.9865,282802.1583,282852.3334,282933.6523,283152.6029,283707.3999,284142.656,284257.6329,284051.8505,283928.0767,283920.8481,283778.2968,283176.6259
