RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024
394393,270,"Bloomington, IN",msa,IN,0.786516854,0.676190476,0.68707483,0.533333333,0.512437811,0.519774011,0.557142857,0.626865672,0.592592593,0.555555556,0.666666667,0.7,0.583333333,0.782608696,0.607142857,0.529411765,0.611111111,0.536585366,0.638888889,0.805555556,0.648648649
394710,272,"Jackson, MI",msa,MI,0.512195122,0.509615385,0.514563107,0.509433962,0.330769231,0.331125828,0.358333333,0.3875,0.381679389,0.483333333,0.418803419,0.425531915,0.569767442,0.479166667,0.47826087,0.53125,0.438461538,0.4375,0.492647059,0.483443709,0.464566929
395125,273,"State College, PA",msa,PA,0.527777778,0.357142857,0.3125,0.324324324,0.29787234,0.378571429,0.414141414,0.4,0.35443038,0.421875,0.52238806,0.6,0.576271186,0.515151515,0.456140351,0.415584416,0.445544554,0.472727273,0.365591398,0.5,0.515151515
395079,274,"Sebastian, FL",msa,FL,0.726708075,0.739336493,0.698630137,0.690140845,0.741477273,0.765886288,0.720164609,0.663755459,0.732142857,0.74,0.764705882,0.732142857,0.792899408,0.784313725,0.766917293,0.795180723,0.763313609,0.756198347,0.789473684,0.780952381,0.816425121
394814,275,"Madera, CA",msa,CA,0.603174603,0.537313433,0.5875,0.485294118,0.473684211,0.509433962,0.568181818,0.423913043,0.547368421,0.4375,0.637681159,0.617977528,0.6,0.447368421,0.516129032,0.474226804,0.504587156,0.544444444,0.428571429,0.517647059,0.542857143
394523,276,"Decatur, AL",msa,AL,0.673469388,0.596491228,0.593023256,0.519480519,0.525,0.423076923,0.528571429,0.477272727,0.491803279,0.5,0.571428571,0.467741935,0.541666667,0.538461538,0.554054054,0.542553191,0.516129032,0.585714286,0.569444444,0.616161616,0.543209877
394453,277,"Chambersburg, PA",msa,PA,0.445783133,0.435294118,0.363636364,0.411111111,0.359649123,0.318965517,0.345454545,0.491935484,0.43220339,0.348214286,0.323529412,0.49382716,0.414285714,0.441860465,0.386138614,0.349514563,0.335820896,0.364583333,0.322834646,0.4609375,0.401869159
395193,278,"Vineland, NJ",msa,NJ,0.493506494,0.428571429,0.44,0.35443038,0.283185841,0.265306122,0.382716049,0.426966292,0.407894737,0.325842697,0.352272727,0.345679012,0.44,0.449275362,0.361111111,0.339805825,0.301204819,0.326923077,0.333333333,0.322580645,0.34
394703,279,"Idaho Falls, ID",msa,ID,,,,,,,,,0.595959596,0.576576577,0.64516129,0.561797753,0.662337662,0.518181818,0.50862069,0.411764706,0.5,0.5,0.480620155,0.465277778,0.532786885
394639,280,"Grand Junction, CO",msa,CO,0.60952381,0.682170543,0.606796117,0.54375,0.542600897,0.448,0.528089888,0.514851485,0.578651685,0.576388889,0.519230769,0.612903226,0.688172043,0.654929577,0.56097561,0.493150685,0.571428571,0.477386935,0.532786885,0.535714286,0.55952381
394563,281,"Elizabethtown, KY",msa,KY,0.80952381,0.604651163,0.615384615,0.545454545,0.626373626,0.421052632,0.564516129,0.583333333,0.568181818,0.68627451,0.577777778,0.628571429,0.714285714,0.447368421,0.638888889,0.541666667,0.468085106,0.596153846,0.45,0.602941176,0.533333333
394917,282,"Niles, MI",msa,MI,0.577464789,0.617021277,0.541984733,0.578947368,0.47133758,0.50273224,0.411764706,0.532258065,0.603896104,0.573643411,0.60483871,0.591304348,0.628205128,0.658823529,0.620689655,0.581081081,0.512,0.544776119,0.555555556,0.469072165,0.634146341
394873,283,"Monroe, MI",msa,MI,0.446428571,0.56626506,0.515463918,0.311827957,0.347107438,0.26984127,0.31372549,0.272727273,0.344262295,0.5,0.455555556,0.548387097,0.585365854,0.584415584,0.372340426,0.473684211,0.303571429,0.409090909,0.299145299,0.441666667,0.504201681
395066,284,"Santa Fe, NM",msa,NM,0.57,0.716049383,0.688741722,0.569343066,0.506756757,0.505102041,0.444444444,0.4375,0.597222222,0.630872483,0.666666667,0.741071429,0.739130435,0.640350877,0.611111111,0.479452055,0.563535912,0.539568345,0.553459119,0.65497076,0.642857143
394493,285,"Concord, NH",msa,NH,0.462686567,0.409090909,0.271186441,0.395833333,0.171875,0.235294118,0.171171171,0.318181818,0.260416667,0.217391304,0.337662338,0.405063291,0.451612903,0.326530612,0.222222222,0.229508197,0.171052632,0.151162791,0.198019802,0.25,0.308641975
394314,286,"Alexandria, LA",msa,LA,0.75,0.546875,0.653333333,0.554054054,0.516853933,0.613861386,0.632352941,0.584415584,0.666666667,0.643835616,0.721311475,0.777777778,0.722222222,0.557692308,0.661971831,0.697368421,0.635135135,0.615384615,0.597402597,0.674418605,0.506493506
395163,287,"Traverse City, MI",msa,MI,0.623655914,0.504347826,0.496688742,0.488888889,0.40776699,0.379310345,0.408866995,0.497925311,0.586206897,0.58685446,0.552238806,0.675,0.691489362,0.574712644,0.48245614,0.573770492,0.463414634,0.471910112,0.527607362,0.536458333,0.60989011
394359,288,"Bangor, ME",msa,ME,0.578947368,0.524590164,0.55,0.546666667,0.411111111,0.375,0.355371901,0.507352941,0.466666667,0.524193548,0.537634409,0.583333333,0.580645161,0.414285714,0.5,0.421052632,0.418367347,0.405172414,0.410714286,0.534246575,0.62037037
394685,289,"Homosassa Springs, FL",msa,FL,0.761627907,0.715555556,0.715277778,0.696153846,0.694805195,0.651851852,0.678714859,0.676855895,0.668103448,0.64573991,0.698863636,0.715053763,0.691860465,0.735042735,0.720833333,0.80876494,0.6484375,0.713080169,0.740310078,0.70781893,0.748538012
394662,290,"Hanford, CA",msa,CA,0.619047619,0.488888889,0.321428571,0.396226415,0.423076923,0.28125,0.32,0.333333333,0.360655738,0.434210526,0.348837209,0.541666667,0.375,0.388888889,0.416666667,0.296875,0.263888889,0.285714286,0.333333333,0.397260274,0.433333333
394723,291,"Jefferson City, MO",msa,MO,0.691358025,0.548076923,0.511278195,0.463235294,0.417266187,0.366666667,0.4296875,0.456896552,0.428571429,0.382978723,0.410526316,0.485981308,0.508474576,0.52173913,0.35106383,0.291666667,0.364341085,0.393617021,0.350515464,0.375,0.419847328
394598,292,"Florence, AL",msa,AL,0.596491228,0.632653061,0.621052632,0.632653061,0.495412844,0.483050847,0.516129032,0.51875,0.621359223,0.5,0.68,0.666666667,0.659574468,0.61627907,0.677419355,0.64556962,0.659574468,0.594594595,0.619047619,0.588235294,0.647619048
394537,293,"Dothan, AL",msa,AL,0.666666667,0.527777778,0.65,0.676470588,0.723404255,0.357142857,0.578947368,0.605263158,0.54,0.609195402,0.710526316,0.7,0.602941176,0.657142857,0.601941748,0.634615385,0.639175258,0.636363636,0.594936709,0.61038961,0.716216216
394802,294,"London, KY",msa,KY,0.847457627,0.730769231,0.765625,0.727272727,0.759493671,0.666666667,0.628205128,0.621212121,0.65625,0.696428571,0.807692308,0.791666667,0.733333333,0.720930233,0.565217391,0.642857143,0.797468354,0.783333333,0.8,0.672131148,0.786885246
394306,295,"Albany, GA",msa,GA,,,,,,,,,,,,,,,,,,0.772727273,0.470588235,0.451612903,0.517857143
845167,296,"Ottawa, IL",msa,IL,0.673076923,0.779661017,0.733333333,0.525641026,0.658536585,0.5234375,0.5,0.597826087,0.504761905,0.588888889,0.534246575,0.586206897,0.642857143,0.610169492,0.643678161,0.554455446,0.537190083,0.495049505,0.433962264,0.533898305,0.505747126
395102,297,"Sioux City, IA",msa,IA,0.657142857,0.735294118,0.54,0.652173913,0.5,0.573770492,0.454545455,0.446808511,0.578947368,0.517241379,0.590909091,0.575757576,0.46875,0.8,0.666666667,0.554347826,0.581967213,0.475806452,0.513761468,0.609756098,0.571428571
395223,298,"Wichita Falls, TX",msa,TX,0.833333333,0.725,0.588235294,0.529411765,0.514563107,0.470588235,0.583333333,0.548387097,0.661764706,0.571428571,0.5,0.628571429,0.651162791,0.528301887,0.613636364,0.545454545,0.490909091,0.388888889,0.545454545,0.5,0.555555556
395152,299,"Texarkana, TX",msa,TX,,,,,0.582417582,0.574257426,0.538461538,0.5,0.602941176,0.712121212,0.742424242,0.577464789,0.583333333,0.593220339,0.635135135,0.606741573,0.70212766,0.614583333,0.585714286,0.612903226,0.506666667
394800,301,"Logan, UT",msa,UT,0.659574468,0.703703704,0.571428571,0.541666667,0.577586207,0.557692308,0.576086957,0.647058824,0.666666667,0.611764706,0.65,0.661538462,0.706896552,0.637681159,0.643678161,0.58974359,0.603773585,0.541666667,0.584158416,0.583333333,0.6625
394595,302,"Flagstaff, AZ",msa,AZ,0.707317073,0.611111111,0.727272727,0.470588235,0.606741573,0.533333333,0.603960396,0.700854701,0.68627451,0.619565217,0.722222222,0.74137931,0.698412698,0.691176471,0.6,0.645833333,0.598484848,0.652173913,0.62,0.735483871,0.666666667
395036,303,"Rocky Mount, NC",msa,NC,0.528301887,0.602739726,0.586666667,0.527027027,0.555555556,0.538461538,0.472972973,0.471153846,0.447761194,0.539473684,0.682539683,0.611111111,0.666666667,0.606060606,0.642857143,0.571428571,0.563829787,0.594202899,0.611111111,0.577464789,0.507692308
395000,304,"Pottsville, PA",msa,PA,0.453125,0.482142857,0.445454545,0.386363636,0.408163265,0.408695652,0.372093023,0.369565217,0.346153846,0.439655172,0.505154639,0.443181818,0.591549296,0.544303797,0.510638298,0.42,0.483870968,0.40952381,0.413793103,0.472727273,0.547368421
394515,305,"Dalton, GA",msa,GA,0.705882353,0.65625,0.506329114,0.641791045,0.592105263,0.444444444,0.565789474,0.535211268,0.666666667,0.593220339,0.592592593,0.538461538,0.693877551,0.551020408,0.701298701,0.380952381,0.509090909,0.545454545,0.510204082,0.594202899,0.65625
394783,306,"Lebanon, PA",msa,PA,0.423728814,0.34375,0.22972973,0.25,0.24742268,0.260162602,0.252336449,0.277777778,0.326086957,0.388349515,0.336842105,0.340909091,0.368421053,0.4125,0.314285714,0.326732673,0.284482759,0.294573643,0.324074074,0.365384615,0.381355932
394880,307,"Morristown, TN",msa,TN,0.621212121,0.567567568,0.535087719,0.545454545,0.489208633,0.538461538,0.584070796,0.552447552,0.607476636,0.472527473,0.636363636,0.635135135,0.728813559,0.596774194,0.597826087,0.585585586,0.527131783,0.586538462,0.593220339,0.582608696,0.714285714
